timestamp_ms,cpu_total%,cpu0%,cpu1%,cpu2%,cpu3%,cpu4%,cpu5%,cpu6%,cpu7%,npu_core0%,npu_core1%,npu_core2%,npu_available
35550,58.9,32.7,25.5,36.7,27.5,93.9,100.0,60.0,92.2,-1.0,-1.0,-1.0,0
36050,64.8,39.2,42.0,51.0,38.8,95.9,89.8,92.0,71.4,-1.0,-1.0,-1.0,0
36551,60.1,35.3,40.0,35.3,22.9,83.7,96.0,71.4,96.1,-1.0,-1.0,-1.0,0
37051,61.8,34.6,41.7,29.2,26.5,90.2,96.0,96.0,78.0,-1.0,-1.0,-1.0,0
37557,64.0,40.8,51.9,40.0,32.0,90.4,68.0,96.2,90.0,-1.0,-1.0,-1.0,0
38058,57.3,23.5,26.0,30.6,26.0,100.0,86.3,72.0,96.0,-1.0,-1.0,-1.0,0
38558,66.6,36.7,42.0,46.0,47.9,90.0,92.0,87.8,88.0,-1.0,-1.0,-1.0,0
39062,61.2,37.7,31.4,42.0,36.0,94.0,82.4,78.0,90.0,-1.0,-1.0,-1.0,0
39563,58.6,33.3,29.2,25.0,40.0,90.0,92.0,68.0,88.2,-1.0,-1.0,-1.0,0
40063,55.5,22.4,26.0,33.3,22.0,95.9,76.5,69.4,100.0,-1.0,-1.0,-1.0,0
40564,61.1,32.0,38.0,38.8,38.0,84.6,88.0,68.6,94.1,-1.0,-1.0,-1.0,0
41068,59.3,32.1,37.7,30.0,34.7,94.0,94.0,62.7,93.9,-1.0,-1.0,-1.0,0
41568,59.7,30.6,28.6,31.9,40.0,96.0,94.0,73.5,80.0,-1.0,-1.0,-1.0,0
42069,60.7,31.2,34.7,35.4,35.4,98.0,90.0,78.0,79.6,-1.0,-1.0,-1.0,0
42569,59.5,36.0,30.0,38.0,30.0,92.0,95.9,90.0,67.3,-1.0,-1.0,-1.0,0
43069,58.0,34.0,38.0,24.5,22.9,92.0,90.0,98.0,62.0,-1.0,-1.0,-1.0,0
43570,62.2,38.0,44.2,28.6,34.0,96.0,90.0,91.8,70.0,-1.0,-1.0,-1.0,0
44071,60.1,38.0,33.3,36.7,36.7,94.1,94.1,90.0,59.2,-1.0,-1.0,-1.0,0
44571,62.5,35.4,32.7,38.8,46.0,96.0,83.7,85.7,81.6,-1.0,-1.0,-1.0,0
45072,59.7,30.0,30.6,27.1,41.2,70.0,94.0,84.3,96.0,-1.0,-1.0,-1.0,0
45572,57.6,32.0,31.4,33.3,27.1,80.0,84.0,98.0,76.5,-1.0,-1.0,-1.0,0
46073,62.2,37.3,38.0,35.4,38.0,80.0,93.9,93.9,80.4,-1.0,-1.0,-1.0,0
46573,65.6,46.9,54.2,40.0,39.6,78.4,80.4,90.2,94.0,-1.0,-1.0,-1.0,0
47073,60.4,32.7,40.0,42.0,26.5,90.0,82.4,74.0,95.9,-1.0,-1.0,-1.0,0
47574,64.2,36.7,39.6,44.9,35.4,96.0,78.0,87.8,88.2,-1.0,-1.0,-1.0,0
48074,63.2,39.2,34.7,45.1,46.0,88.0,77.6,86.0,93.8,-1.0,-1.0,-1.0,0
48575,58.9,34.6,36.0,36.0,32.0,87.8,60.0,94.0,90.0,-1.0,-1.0,-1.0,0
49075,64.8,40.8,38.8,40.0,50.0,74.5,92.0,92.2,90.2,-1.0,-1.0,-1.0,0
49576,64.2,45.1,46.9,44.9,30.0,66.7,96.0,89.8,94.0,-1.0,-1.0,-1.0,0
50076,63.0,46.9,34.7,36.7,39.6,66.0,94.1,93.9,89.8,-1.0,-1.0,-1.0,0
50577,54.5,26.0,36.5,30.0,34.0,38.8,83.7,94.1,94.0,-1.0,-1.0,-1.0,0
51077,52.2,26.0,32.0,32.0,24.0,56.0,63.5,94.0,88.2,-1.0,-1.0,-1.0,0
51578,55.6,36.5,35.4,30.0,38.0,94.0,26.5,89.8,93.9,-1.0,-1.0,-1.0,0
52080,50.4,31.4,30.0,24.0,25.5,94.0,21.6,90.0,88.5,-1.0,-1.0,-1.0,0
52581,54.6,40.0,36.0,34.0,28.6,90.2,30.0,94.1,83.7,-1.0,-1.0,-1.0,0
53081,53.6,22.4,37.3,32.7,40.0,47.1,94.1,87.8,66.0,-1.0,-1.0,-1.0,0
53582,48.1,23.1,31.2,20.4,14.3,18.0,87.8,94.1,95.9,-1.0,-1.0,-1.0,0
54082,51.4,22.4,40.8,30.0,21.6,38.8,92.3,88.2,72.0,-1.0,-1.0,-1.0,0
54582,35.2,12.2,10.0,12.0,10.2,42.0,53.1,82.0,59.2,-1.0,-1.0,-1.0,0
55083,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
55583,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
56083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
56584,1.5,5.8,2.0,2.0,0.0,4.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,0
57084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
57585,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
58085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
58586,12.2,4.3,7.7,3.9,14.0,16.3,0.0,51.0,2.0,-1.0,-1.0,-1.0,0
59086,64.8,45.1,40.0,42.0,40.0,82.7,90.0,92.0,88.0,-1.0,-1.0,-1.0,0
59587,61.3,33.3,20.8,31.2,20.4,93.8,98.0,90.0,96.0,-1.0,-1.0,-1.0,0
60087,68.0,45.8,42.9,45.8,38.8,88.2,98.0,94.0,92.0,-1.0,-1.0,-1.0,0
60587,65.2,29.4,28.6,44.0,44.0,97.9,90.4,89.8,96.0,-1.0,-1.0,-1.0,0
61088,69.9,58.5,40.0,38.8,52.9,90.0,94.0,96.0,90.0,-1.0,-1.0,-1.0,0
61589,64.6,34.7,38.8,38.5,38.0,92.0,91.8,94.1,90.0,-1.0,-1.0,-1.0,0
62089,67.4,38.8,49.0,38.8,38.3,90.0,96.0,93.9,92.0,-1.0,-1.0,-1.0,0
62590,69.9,56.0,48.0,51.0,40.8,91.7,90.0,94.0,89.8,-1.0,-1.0,-1.0,0
63090,65.5,34.8,39.2,31.2,36.7,92.2,92.0,94.1,96.0,-1.0,-1.0,-1.0,0
63591,69.6,51.0,40.8,49.0,49.0,92.0,98.0,91.8,87.8,-1.0,-1.0,-1.0,0
64095,66.9,54.9,36.5,49.0,36.7,90.2,74.0,94.0,96.1,-1.0,-1.0,-1.0,0
64596,64.6,44.0,34.7,32.7,34.0,96.0,96.0,88.2,90.0,-1.0,-1.0,-1.0,0
65096,70.2,55.1,40.0,48.1,50.0,90.0,92.2,94.0,94.0,-1.0,-1.0,-1.0,0
65597,67.1,44.0,44.0,31.9,36.7,90.2,94.1,92.0,98.0,-1.0,-1.0,-1.0,0
66097,60.1,29.2,38.8,29.8,36.7,81.6,86.0,84.0,92.0,-1.0,-1.0,-1.0,0
66598,65.6,47.9,41.7,39.6,47.9,91.8,96.0,65.3,90.2,-1.0,-1.0,-1.0,0
67098,64.0,47.1,50.0,40.0,36.7,94.1,81.6,86.0,76.0,-1.0,-1.0,-1.0,0
67600,59.4,34.7,30.6,28.0,40.0,66.7,88.0,100.0,86.0,-1.0,-1.0,-1.0,0
68100,62.2,37.7,38.8,36.7,36.7,72.0,82.0,93.9,100.0,-1.0,-1.0,-1.0,0
68601,59.5,34.0,34.7,25.0,37.5,74.5,84.0,94.1,88.2,-1.0,-1.0,-1.0,0
69101,61.3,38.8,38.0,37.5,31.2,64.7,94.0,89.8,94.0,-1.0,-1.0,-1.0,0
69602,62.2,36.7,37.3,38.0,49.0,80.0,76.5,95.9,86.0,-1.0,-1.0,-1.0,0
70102,59.6,41.5,33.3,24.0,35.4,88.0,84.6,94.0,76.0,-1.0,-1.0,-1.0,0
70603,61.1,36.5,34.7,42.0,35.3,92.0,64.0,88.2,98.0,-1.0,-1.0,-1.0,0
71104,62.6,35.4,28.6,42.9,38.0,98.0,92.0,92.0,68.6,-1.0,-1.0,-1.0,0
71604,58.2,29.8,32.0,35.4,28.3,72.0,100.0,89.8,77.6,-1.0,-1.0,-1.0,0
72105,64.4,41.2,27.1,46.0,48.1,96.0,91.8,74.0,89.8,-1.0,-1.0,-1.0,0
72606,57.8,35.4,36.0,24.5,26.9,86.0,96.1,78.0,78.4,-1.0,-1.0,-1.0,0
73106,64.4,38.8,43.8,38.0,42.3,96.0,90.2,92.2,73.5,-1.0,-1.0,-1.0,0
73607,61.4,40.8,37.3,34.7,32.7,92.0,82.0,94.0,78.4,-1.0,-1.0,-1.0,0
74107,60.5,39.6,30.0,35.3,36.5,94.0,92.0,65.3,91.8,-1.0,-1.0,-1.0,0
74608,60.7,32.7,33.3,33.3,38.8,96.0,66.0,90.2,90.2,-1.0,-1.0,-1.0,0
75108,61.2,45.1,34.7,32.7,38.0,90.2,60.0,93.9,91.8,-1.0,-1.0,-1.0,0
75609,58.1,23.4,30.0,28.0,24.5,93.9,70.6,94.0,100.0,-1.0,-1.0,-1.0,0
76110,60.6,33.3,40.8,29.4,36.0,98.0,58.0,96.0,94.1,-1.0,-1.0,-1.0,0
76611,66.2,52.2,45.7,41.7,33.3,90.2,78.0,92.0,92.0,-1.0,-1.0,-1.0,0
77111,56.6,27.5,29.4,36.0,22.0,76.5,96.0,94.0,73.5,-1.0,-1.0,-1.0,0
77616,64.4,44.0,45.8,44.0,35.4,89.8,74.0,90.2,86.3,-1.0,-1.0,-1.0,0
78116,58.2,28.0,30.6,28.0,29.2,81.6,80.0,98.0,92.0,-1.0,-1.0,-1.0,0
78617,56.7,21.3,32.7,30.6,26.5,94.1,69.4,81.6,93.9,-1.0,-1.0,-1.0,0
79118,61.6,35.3,32.0,30.6,36.0,95.9,75.5,92.2,95.9,-1.0,-1.0,-1.0,0
79618,56.1,30.6,25.5,22.0,30.0,74.5,80.0,88.0,98.0,-1.0,-1.0,-1.0,0
80118,61.6,42.0,28.0,32.0,42.0,95.9,79.6,93.9,78.4,-1.0,-1.0,-1.0,0
80619,57.0,30.0,22.9,26.5,22.4,96.1,96.0,94.1,65.3,-1.0,-1.0,-1.0,0
81120,56.8,29.2,24.0,28.6,25.0,98.0,96.0,91.8,60.0,-1.0,-1.0,-1.0,0
81620,59.6,26.0,24.5,36.7,27.5,98.0,96.1,96.1,71.4,-1.0,-1.0,-1.0,0
82121,55.1,26.9,21.6,18.4,28.8,90.2,80.0,77.6,96.1,-1.0,-1.0,-1.0,0
82621,64.2,41.5,38.0,42.0,40.8,71.4,96.0,90.2,93.9,-1.0,-1.0,-1.0,0
83121,55.4,24.5,30.6,22.9,24.5,98.0,78.4,98.0,64.7,-1.0,-1.0,-1.0,0
83622,62.1,40.0,29.2,40.0,32.7,93.9,74.5,94.0,88.0,-1.0,-1.0,-1.0,0
84123,58.5,31.4,32.7,26.0,31.4,66.0,95.9,96.1,92.0,-1.0,-1.0,-1.0,0
84624,56.9,32.1,27.5,30.0,30.8,96.1,90.2,94.0,56.9,-1.0,-1.0,-1.0,0
85124,62.2,36.0,42.9,32.7,32.7,87.8,72.9,98.0,96.0,-1.0,-1.0,-1.0,0
85625,53.9,26.5,26.5,18.8,23.5,76.0,70.0,96.0,93.9,-1.0,-1.0,-1.0,0
86126,59.4,37.5,30.6,33.3,28.6,68.0,96.0,82.0,94.0,-1.0,-1.0,-1.0,0
86626,60.2,29.4,35.3,34.7,24.0,96.1,96.0,66.0,98.0,-1.0,-1.0,-1.0,0
87127,64.6,44.2,45.1,48.0,31.9,77.6,91.8,86.0,92.2,-1.0,-1.0,-1.0,0
87627,65.4,52.1,47.9,40.0,32.7,91.8,98.0,98.0,60.4,-1.0,-1.0,-1.0,0
88128,56.6,43.1,20.0,22.0,22.0,96.1,100.0,94.0,54.0,-1.0,-1.0,-1.0,0
88630,65.3,51.0,55.6,38.0,30.6,84.0,94.0,92.0,79.6,-1.0,-1.0,-1.0,0
89130,57.9,21.3,35.4,30.6,25.0,61.2,96.0,91.8,96.0,-1.0,-1.0,-1.0,0
89631,59.8,32.7,46.0,27.1,28.0,90.2,70.0,86.3,96.0,-1.0,-1.0,-1.0,0
90131,60.3,31.4,32.7,35.4,26.5,100.0,78.0,89.6,86.3,-1.0,-1.0,-1.0,0
90632,55.1,34.0,29.4,21.6,24.0,74.5,68.6,94.0,97.9,-1.0,-1.0,-1.0,0
91135,62.5,40.0,36.5,46.0,32.7,92.2,95.9,91.8,68.0,-1.0,-1.0,-1.0,0
91635,61.2,40.0,41.2,33.3,26.5,88.0,100.0,68.0,94.1,-1.0,-1.0,-1.0,0
92136,58.0,31.4,28.6,34.7,30.6,83.3,96.1,94.0,62.0,-1.0,-1.0,-1.0,0
92636,62.0,40.0,35.4,36.0,28.6,94.1,74.0,93.9,95.9,-1.0,-1.0,-1.0,0
93137,53.7,22.4,20.4,29.2,18.8,93.9,43.1,100.0,100.0,-1.0,-1.0,-1.0,0
93637,64.4,41.2,51.0,36.7,34.0,88.0,92.0,96.1,72.0,-1.0,-1.0,-1.0,0
94138,56.2,26.5,18.8,22.9,29.2,100.0,63.3,84.0,98.0,-1.0,-1.0,-1.0,0
94640,59.0,29.4,37.5,42.3,26.0,70.6,96.1,78.0,94.0,-1.0,-1.0,-1.0,0
95140,57.8,31.4,34.0,32.7,29.2,82.0,84.0,98.0,71.4,-1.0,-1.0,-1.0,0
95641,50.0,32.7,26.0,15.7,16.0,83.7,80.0,92.0,52.9,-1.0,-1.0,-1.0,0
96141,64.2,36.0,40.0,50.0,44.0,94.1,68.6,94.1,87.8,-1.0,-1.0,-1.0,0
96642,53.9,30.6,24.5,30.0,24.5,80.0,87.5,60.8,92.2,-1.0,-1.0,-1.0,0
97142,51.2,26.9,20.0,34.0,34.7,82.0,72.0,54.0,86.0,-1.0,-1.0,-1.0,0
97643,48.6,25.5,18.0,22.4,16.7,94.1,92.2,90.0,26.5,-1.0,-1.0,-1.0,0
98144,46.7,22.0,14.6,16.3,17.6,63.3,95.9,48.0,94.0,-1.0,-1.0,-1.0,0
98644,56.2,32.7,35.4,40.8,29.2,92.0,90.2,44.0,82.4,-1.0,-1.0,-1.0,0
99145,47.7,24.5,21.2,22.0,16.3,74.5,72.0,74.0,77.6,-1.0,-1.0,-1.0,0
99646,47.4,20.0,14.6,18.0,12.5,90.0,78.0,44.0,96.1,-1.0,-1.0,-1.0,0
100146,46.2,24.0,20.0,24.5,19.6,61.2,50.0,87.8,86.3,-1.0,-1.0,-1.0,0
100646,29.6,9.6,8.0,6.0,7.8,52.9,6.0,52.9,93.9,-1.0,-1.0,-1.0,0
101147,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0,-1.0,-1.0,0
101647,1.2,0.0,5.8,2.0,0.0,0.0,4.0,0.0,0.0,-1.0,-1.0,-1.0,0
102148,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
102648,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
103148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
103649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
104149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
104650,8.0,14.0,3.9,2.0,0.0,26.0,0.0,15.7,0.0,-1.0,-1.0,-1.0,0
105151,48.7,32.7,26.5,34.0,34.7,55.1,60.8,91.8,56.0,-1.0,-1.0,-1.0,0
105654,64.6,36.7,42.3,40.8,29.4,94.0,94.0,86.8,92.2,-1.0,-1.0,-1.0,0
106154,64.3,34.7,29.2,30.8,31.9,92.0,94.0,100.0,98.0,-1.0,-1.0,-1.0,0
106657,70.2,56.0,48.0,53.1,38.5,86.3,92.0,95.9,94.0,-1.0,-1.0,-1.0,0
107158,56.2,28.0,41.2,26.0,22.0,63.3,89.8,90.0,92.0,-1.0,-1.0,-1.0,0
107658,60.0,54.9,28.0,33.3,34.0,92.0,51.0,96.1,89.8,-1.0,-1.0,-1.0,0
108159,57.7,28.6,28.6,39.6,44.0,70.0,66.0,89.6,94.1,-1.0,-1.0,-1.0,0
108659,48.0,20.4,16.0,18.4,27.1,70.0,63.3,88.2,77.6,-1.0,-1.0,-1.0,0
109160,61.1,46.2,32.0,32.0,38.5,85.7,69.2,90.0,94.1,-1.0,-1.0,-1.0,0
109660,36.4,17.3,12.0,10.2,10.2,64.0,75.5,44.0,58.0,-1.0,-1.0,-1.0,0
110160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
110661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
111161,0.5,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
111662,1.8,8.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,-1.0,-1.0,-1.0,0
112162,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
112662,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,-1.0,-1.0,0
113163,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
113663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
114164,6.5,4.1,0.0,2.0,2.0,26.0,2.0,16.0,0.0,-1.0,-1.0,-1.0,0
114664,47.1,34.0,29.4,30.0,27.5,53.1,54.0,92.0,58.0,-1.0,-1.0,-1.0,0
115165,63.4,32.7,34.7,38.0,29.8,86.5,96.0,90.0,94.0,-1.0,-1.0,-1.0,0
115665,65.7,34.0,29.2,39.6,35.4,93.9,94.0,100.0,94.0,-1.0,-1.0,-1.0,0
116167,64.2,43.8,28.6,32.0,40.0,95.9,92.3,91.8,91.8,-1.0,-1.0,-1.0,0
116668,68.3,49.0,40.8,43.1,38.8,98.0,91.8,90.2,92.0,-1.0,-1.0,-1.0,0
117173,65.2,35.4,34.7,31.9,36.7,90.0,96.0,92.2,100.0,-1.0,-1.0,-1.0,0
117687,69.3,54.9,46.0,48.0,27.1,98.1,88.5,94.0,94.1,-1.0,-1.0,-1.0,0
118189,63.3,39.2,34.6,30.6,34.7,89.8,95.9,92.2,92.0,-1.0,-1.0,-1.0,0
118689,68.2,42.9,41.7,40.4,44.2,96.0,92.2,94.0,94.0,-1.0,-1.0,-1.0,0
119190,62.3,32.7,33.3,30.0,27.5,98.0,94.0,96.0,88.0,-1.0,-1.0,-1.0,0
119691,66.2,42.0,39.2,36.7,35.4,92.2,96.1,90.2,94.0,-1.0,-1.0,-1.0,0
120192,62.6,30.0,28.6,30.0,26.5,96.0,94.0,100.0,94.1,-1.0,-1.0,-1.0,0
120693,61.8,28.0,23.4,30.6,26.5,94.1,100.0,92.2,94.1,-1.0,-1.0,-1.0,0
121195,51.9,27.1,28.6,22.4,18.4,55.1,88.0,77.6,94.0,-1.0,-1.0,-1.0,0
121695,48.9,23.1,24.0,22.0,21.6,70.0,98.0,63.5,71.4,-1.0,-1.0,-1.0,0
122196,46.4,21.6,20.0,17.6,13.7,94.1,92.0,95.9,21.2,-1.0,-1.0,-1.0,0
122696,59.1,36.0,36.0,36.7,26.5,94.1,90.0,88.0,61.2,-1.0,-1.0,-1.0,0
123197,63.8,31.4,33.3,41.2,28.0,96.0,91.8,100.0,90.2,-1.0,-1.0,-1.0,0
